
> concat(copy(300K, file(./res/data_body)), file(./res/data_end)); 737.402MB; first window at 99.99977800428995%
name,threads,best,median,mean,stddev
"gather_avx2_few_chnk",1,1.5004,1.4960,1.4982,0.0022

> concat(rng(x, 3456), drand(50k, 500, x)); 25.007MB; first window at 0.19994401567561085%
name,threads,best,median,mean,stddev
"gather_avx512_pre",1,1.8409,1.8335,1.8310,0.0189
"gather_avx512_chunks",1,9.0097,8.9758,8.9790,0.0133
"gather_avx512_nopre",1,0.9665,0.9639,0.9628,0.0055
"gather_avx2",1,0.7327,0.7316,0.7306,0.0038
"gather_avx2_chnk",1,3.2656,3.2571,3.2489,0.0479
"gather_avx2_few_regs",1,0.8147,0.8067,0.8063,0.0120
"gather_avx2_few_chnk",1,3.8668,3.8549,3.8566,0.0044

> concat(rng(x, 3456), drand(500k, 50, x)); 25.001MB; first window at 1.9999440015679562%
name,threads,best,median,mean,stddev
"gather_avx512_pre",1,3.3209,3.2896,3.2883,0.0309
"gather_avx512_chunks",1,11.3143,11.2888,11.2656,0.1011
"gather_avx512_nopre",1,1.6780,1.6723,1.6695,0.0070
"gather_avx2",1,1.3498,1.3410,1.3418,0.0078
"gather_avx2_chnk",1,5.5173,5.5105,5.4919,0.0443
"gather_avx2_few_regs",1,1.4562,1.4445,1.4450,0.0098
"gather_avx2_few_chnk",1,5.8663,5.8532,5.8226,0.0577

> concat(rng(x, 3456), drand(5000k, 5, x)); 25.000MB; first window at 19.9999440001568%
name,threads,best,median,mean,stddev
"gather_avx512_pre",1,6.8571,6.8334,6.8277,0.0292
"gather_avx512_chunks",1,11.7007,11.6340,11.6436,0.0602
"gather_avx512_nopre",1,3.2508,3.2468,3.2472,0.0026
"gather_avx2",1,2.9102,2.9048,2.9055,0.0024
"gather_avx2_chnk",1,5.5827,5.5677,5.5685,0.0047
"gather_avx2_few_regs",1,3.2796,3.2722,3.2643,0.0150
"gather_avx2_few_chnk",1,6.2309,6.2055,6.1859,0.0329

> copy(100M, lit(a)); 100.000MB; no windows present
name,threads,best,median,mean,stddev
"gather_avx2",1,6.0153,5.9879,5.9901,0.0112
"gather_avx2_chnk",1,5.7452,5.7348,5.7317,0.0109
"gather_avx2_few_regs",1,6.5071,6.4918,6.4907,0.0113
